Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2015-01-01,31.68
Austria,AUT,2015-02-01,36.69
Austria,AUT,2015-03-01,31.3
Austria,AUT,2015-04-01,29.78
Austria,AUT,2015-05-01,25.33
Austria,AUT,2015-06-01,30.11
Austria,AUT,2015-07-01,34.98
Austria,AUT,2015-08-01,31.61
Austria,AUT,2015-09-01,31.89
Austria,AUT,2015-10-01,39.37
Austria,AUT,2015-11-01,32.38
Austria,AUT,2015-12-01,27.79
Austria,AUT,2016-01-01,29.03
Austria,AUT,2016-02-01,22.0
Austria,AUT,2016-03-01,24.3
Austria,AUT,2016-04-01,24.21
Austria,AUT,2016-05-01,22.55
Austria,AUT,2016-06-01,27.7
Austria,AUT,2016-07-01,27.18
Austria,AUT,2016-08-01,27.18
Austria,AUT,2016-09-01,30.51
Austria,AUT,2016-10-01,37.14
Austria,AUT,2016-11-01,38.21
Austria,AUT,2016-12-01,37.47
Austria,AUT,2017-01-01,52.41
Austria,AUT,2017-02-01,39.68
Austria,AUT,2017-03-01,31.69
Austria,AUT,2017-04-01,28.72
Austria,AUT,2017-05-01,30.61
Austria,AUT,2017-06-01,30.0
Austria,AUT,2017-07-01,33.01
Austria,AUT,2017-08-01,30.86
Austria,AUT,2017-09-01,34.3
Austria,AUT,2017-10-01,28.29
Austria,AUT,2017-11-01,40.38
Austria,AUT,2017-12-01,30.71
Austria,AUT,2018-01-01,29.5
Austria,AUT,2018-02-01,40.12
Austria,AUT,2018-03-01,37.36
Austria,AUT,2018-04-01,31.96
Austria,AUT,2018-05-01,33.66
Austria,AUT,2018-06-01,42.39
Austria,AUT,2018-07-01,49.59
Austria,AUT,2018-08-01,56.22
Austria,AUT,2018-09-01,54.76
Austria,AUT,2018-10-01,61.65
Austria,AUT,2018-11-01,61.82
Austria,AUT,2018-12-01,56.33
Austria,AUT,2019-01-01,56.03
Austria,AUT,2019-02-01,46.03
Austria,AUT,2019-03-01,33.07
Austria,AUT,2019-04-01,37.75
Austria,AUT,2019-05-01,37.92
Austria,AUT,2019-06-01,34.58
Austria,AUT,2019-07-01,40.08
Austria,AUT,2019-08-01,37.68
Austria,AUT,2019-09-01,38.05
Austria,AUT,2019-10-01,38.99
Austria,AUT,2019-11-01,42.75
Austria,AUT,2019-12-01,38.12
Austria,AUT,2020-01-01,40.69
Austria,AUT,2020-02-01,29.09
Austria,AUT,2020-03-01,24.6
Austria,AUT,2020-04-01,18.26
Austria,AUT,2020-05-01,17.53
Austria,AUT,2020-06-01,26.59
Austria,AUT,2020-07-01,32.31
Austria,AUT,2020-08-01,35.98
